ifc_id,code,facet,uniclass_title,uniclass_description,score
IfcActionRequest,Ss_90_13,SS,Demand for information and communication,,0.8574
IfcActionRequest,PM_10_20_82,PM,Statement of requirements,,0.8492
IfcActionRequest,PM_60_30_71,PM,Request for information (RFI),,0.8408
IfcActionRequest,FI_10_70,FI,Request (RI),,0.8395
IfcActionRequest,Ss_90_07,SS,Demand for cleaning,,0.8386
IfcActor,PM_10_10_60,PM,Project description,,0.8365
IfcActor,PM_80_45_61,PM,Principal accountable person organization details,,0.8207
IfcActor,Co_90_50_16,CO,Complexes for the storage of human remains,,0.8185
IfcActor,Ro_50_20_53,RO,"Mechanical, electrical, instrumentation, control and automation (MEICA) engineer",,0.8173
IfcActor,En_60,EN,"Heating, cooling and refrigeration entities",,0.8148
IfcActorRole,FI_90_13,FI,Certificate (CE),,0.5917
IfcActorRole,PC_35_65_36_16,PC,Chlorofluorocarbon (CFC) emissions,,0.5458
IfcActorRole,PM_70_30_15,PM,Closed-circuit television (CCTV) commissioning certificate,,0.535
IfcActorRole,Pr_75_51_26_01,PR,Alternating current (a.c.) capacitor motors,,0.5342
IfcActorRole,Pr_75_51_26_00,PR,Alternating current (a.c.) capacitor start capacitor run motors,,0.5236
IfcActuator,EF_85_50,EF,Mechanical power,,0.8676
IfcActuator,Pr_75_51,PR,"Motors, motor controls, control circuit devices and timeswitches",,0.8642
IfcActuator,Pr_75_50_02,PR,Actuators,,0.864
IfcActuator,Pr_85_50,PR,Mechanical power products,,0.8562
IfcActuator,PC_35_51,PC,Mechanical characteristics,,0.8487
IfcActuatorType,PC_10_65_91,PC,Type,,0.8087
IfcActuatorType,FI_90_13,FI,Certificate (CE),,0.5415
IfcActuatorType,PC_60_54_42,PC,Inflatable,,0.5294
IfcActuatorType,PM_70_75_40,PM,Information and communications technology (ICT) infrastructure test report,,0.5121
IfcActuatorType,PM_70_30_08,PM,Booster pump set test certificate,,0.5102
IfcAddress,Pr_60_70_06_48,PR,Lead-calcium battery chargers,,0.4851
IfcAddress,Pr_75_51_52_01,PR,Alternating current (a.c.) drives,,0.4815
IfcAddress,Pr_25_93_51_42,PR,Glass fibre-reinforced concrete (GRC) dressing quoins,,0.4815
IfcAddress,Pr_25_93_51_41,PR,Glass fibre-reinforced concrete (GRC) dressing plinths and string courses,,0.476
IfcAddress,Pr_40_30_20_70,PR,Recessed curtain pelmets,,0.469
IfcAdvancedBrep,PM_70_95_20,PM,Design compliance review report,,0.5054
IfcAdvancedBrep,Pr_25_71_80_24,PR,Fibre-reinforced calcium silicate fire protection boards,,0.4861
IfcAdvancedBrep,PM_60_50_37,PM,Financial report,,0.4847
IfcAdvancedBrep,Ss_20_05_65_42,SS,In situ concrete cased displacement piling systems,,0.4733
IfcAdvancedBrep,PM_70_75_13,PM,Coliform and bacteria count test report,,0.4626
IfcAdvancedBrepWithVoids,PC_10_45_60_35,PC,Grids,,0.6645
IfcAdvancedBrepWithVoids,Ss_20_05_65_42,SS,In situ concrete cased displacement piling systems,,0.479
IfcAdvancedBrepWithVoids,Pr_20_85_32,PR,Frames and grids,,0.4762
IfcAdvancedBrepWithVoids,FI_50_40,FI,Invoice (IV),,0.4738
IfcAdvancedBrepWithVoids,Pr_75_51_26_05,PR,Alternating current (a.c.) motors with integrated variable speed drive,,0.4665
IfcAdvancedFace,Ma_20_01,MA,Adobe,,0.5073
IfcAdvancedFace,PM_40_30_52,PM,"Mechanical, electrical, instrumentation, controls and automation (MEICA) design",,0.4943
IfcAdvancedFace,Pr_65_70_70_53,PR,"Multicore, cross-linked elastomeric-insulated, reduced dimensions, special fire performance cables",,0.4896
IfcAdvancedFace,Pr_65_70_70_83,PR,"Screened, multicore, cross-linked elastomeric-insulated, reduced dimensions, special fire performance cables",,0.4887
IfcAdvancedFace,PM_80_15_52,PM,"Mechanical, electrical, instrumentation, controls and automation (MEICA) maintenance strategy",,0.4849
IfcAirTerminal,Pr_65_70_46_01,PR,Air terminals,,0.9339
IfcAirTerminal,Pr_70_65_04,PR,Air terminals and diffusers,,0.9187
IfcAirTerminal,Pr_70_65_04_84,PR,Specialist air terminals,,0.91
IfcAirTerminal,Pr_70_65_04_37,PR,High-security air terminals,,0.8935
IfcAirTerminal,Pr_70_65_04_94,PR,Variable air volume (VAV) terminal units,,0.885
IfcAirTerminalBox,Pr_70_65_04_25,PR,Dual duct variable air volume (VAV) terminal units,,0.8997
IfcAirTerminalBox,Pr_70_65_04_93,PR,Variable air volume (VAV) fan-assisted terminal units,,0.8957
IfcAirTerminalBox,Pr_70_65_04,PR,Air terminals and diffusers,,0.8948
IfcAirTerminalBox,Pr_70_65_04_94,PR,Variable air volume (VAV) terminal units,,0.8938
IfcAirTerminalBox,Pr_70_65_04_91,PR,Variable air volume (VAV) fan-assisted and heated terminal units,,0.8934
IfcAirTerminalBoxType,PC_10_65_91,PC,Type,,0.8782
IfcAirTerminalBoxType,PC_50_15_81_91,PC,Signal type,,0.6824
IfcAirTerminalBoxType,PC_20_77_21,PC,Day type,,0.6166
IfcAirTerminalBoxType,PC_50_75_03,PC,Alarm type,,0.5946
IfcAirTerminalBoxType,PC_35_30_32,PC,Fire type,,0.5888
IfcAirTerminalType,Pr_25_71_94_22,PR,Decorative continuous laminates (DCL or CPL),,0.5314
IfcAirTerminalType,Pr_25_71_14_05,PR,Aluminium composite material (ACM) panels,,0.5289
IfcAirTerminalType,PM_40_30_52,PM,"Mechanical, electrical, instrumentation, controls and automation (MEICA) design",,0.5243
IfcAirTerminalType,Ss_70_10_30_72,SS,Reciprocating internal combustion engine driven alternating current generator systems,,0.5208
IfcAirTerminalType,Pr_60_55_97_14,PR,Clarifiers,,0.5169
IfcAirToAirHeatRecovery,Pr_60_60_36,PR,Heat recovery distribution equipment,,0.8961
IfcAirToAirHeatRecovery,Pr_70_60_37_02,PR,Air-to-air heat pumps,,0.8911
IfcAirToAirHeatRecovery,Pr_70_60_37_96,PR,Water-to-air heat pumps,,0.8874
IfcAirToAirHeatRecovery,Pr_70_60_37_04,PR,Air-to-water heat pumps,,0.8846
IfcAirToAirHeatRecovery,Pr_70_60_37_50,PR,Medium or high-temperature air-to-water heat pumps,,0.8809
IfcAirToAirHeatRecoveryType,PC_10_65_91,PC,Type,,0.8411
IfcAirToAirHeatRecoveryType,PC_50_34_74_91,PC,Sensor type,,0.622
IfcAirToAirHeatRecoveryType,PC_35_30_32,PC,Fire type,,0.6188
IfcAirToAirHeatRecoveryType,Pr_70_60_37_02,PR,Air-to-air heat pumps,,0.6088
IfcAirToAirHeatRecoveryType,PC_50_34_75_91,PC,Service type,,0.5992
IfcAlarm,PC_50_75_03,PC,Alarm type,,0.9176
IfcAlarm,Pr_75_80_30_97,PR,Visual alarm signal devices,,0.9076
IfcAlarm,Ss_75_40_75,SS,Security detection alarm systems,,0.8941
IfcAlarm,Pr_75_80_50_02,PR,Alarm interface units,,0.8936
IfcAlarm,Pr_75_50_20_30,PR,Firefighting alarm devices,,0.8924
IfcAlarmType,PC_10_65_91,PC,Type,,0.871
IfcAlarmType,PC_50_75_03,PC,Alarm type,,0.7735
IfcAlarmType,PC_35_30_32,PC,Fire type,,0.6288
IfcAlarmType,PC_35_28_16,PC,Climate type,,0.6161
IfcAlarmType,PC_20_77_21,PC,Day type,,0.6039
IfcAlignment,Zz_85_20,ZZ,Concept,,0.8308
IfcAlignment,Pr_65_70_48_62,PR,Polyvinyl chloride (PVC)-insulated flexible single-core cables for switchgear and controlgear wiring,,0.7828
IfcAlignment,Zz_35_10_90,ZZ,Vertical alignment,,0.6803
IfcAlignment,Zz_35_10_40,ZZ,Horizontal alignment,,0.6502
IfcAlignment,SL_80_92_94,SL,Vertical alignment grids,,0.6084
IfcAlignmentCant,Zz_35_10_40,ZZ,Horizontal alignment,,0.8824
IfcAlignmentCant,SL_80_92_37,SL,Horizontal alignment grids,,0.8696
IfcAlignmentCant,PC_20_65_72_47,PC,Lateral,,0.8638
IfcAlignmentCant,PC_20_65_59_38,PC,Horizontal,,0.8611
IfcAlignmentCant,Zz_35_10_90,ZZ,Vertical alignment,,0.8596
IfcAlignmentCantSegment,SL_80_92_37,SL,Horizontal alignment grids,,0.5507
IfcAlignmentCantSegment,PM_30_10_58,PM,Mapping information,,0.4861
IfcAlignmentCantSegment,PC_35_51_27,PC,Elongation,,0.4745
IfcAlignmentCantSegment,PM_80_10_56,PM,Non-conformance notification,,0.4651
IfcAlignmentCantSegment,PM_70_85_11,PM,Clarifications information,,0.4629
IfcAlignmentHorizontal,Zz_35_10_40,ZZ,Horizontal alignment,,0.8839
IfcAlignmentHorizontal,SL_80_92_37,SL,Horizontal alignment grids,,0.8831
IfcAlignmentHorizontal,PC_20_65_59_38,PC,Horizontal,,0.8609
IfcAlignmentHorizontal,SL_80_92_94,SL,Vertical alignment grids,,0.848
IfcAlignmentHorizontal,Zz_35_10,ZZ,Alignments and super elevations,,0.844
IfcAlignmentHorizontalSegment,Zz_35_10_40,ZZ,Horizontal alignment,,0.7731
IfcAlignmentHorizontalSegment,SL_80_92_37,SL,Horizontal alignment grids,,0.686
IfcAlignmentHorizontalSegment,PM_70_85_11,PM,Clarifications information,,0.5102
IfcAlignmentHorizontalSegment,Zz_35_10,ZZ,Alignments and super elevations,,0.4995
IfcAlignmentHorizontalSegment,PM_30_30_53,PM,Model calibration information,,0.4756
IfcAlignmentParameterSegment,Pr_80_51_51_05,PR,Ammeters,,0.7421
IfcAlignmentParameterSegment,Pr_40_70_51_10,PR,Calorimeters,,0.6021
IfcAlignmentParameterSegment,Pr_80_51_85_41,PR,Inclinometers,,0.5974
IfcAlignmentParameterSegment,Pr_80_51_51_62,PR,Piezometers,,0.5921
IfcAlignmentParameterSegment,PM_40_30_60,PM,Parametric information,,0.5816
IfcAlignmentSegment,Zz_35_10_40,ZZ,Horizontal alignment,,0.8632
IfcAlignmentSegment,SL_80_92_37,SL,Horizontal alignment grids,,0.8629
IfcAlignmentSegment,PC_20_65_59_38,PC,Horizontal,,0.8512
IfcAlignmentSegment,SL_80_92_94,SL,Vertical alignment grids,,0.8414
IfcAlignmentSegment,Zz_35_10_90,ZZ,Vertical alignment,,0.8378
IfcAlignmentVertical,Zz_35_10_40,ZZ,Horizontal alignment,,0.885
IfcAlignmentVertical,Zz_35_10_90,ZZ,Vertical alignment,,0.884
IfcAlignmentVertical,SL_80_92_37,SL,Horizontal alignment grids,,0.8741
IfcAlignmentVertical,SL_80_92_94,SL,Vertical alignment grids,,0.8732
IfcAlignmentVertical,PC_20_65_59_38,PC,Horizontal,,0.8671
IfcAlignmentVerticalSegment,SL_80_92_94,SL,Vertical alignment grids,,0.6675
IfcAlignmentVerticalSegment,PC_20_25_94,PC,Vertical dimensions,,0.5841
IfcAlignmentVerticalSegment,PC_20_65_72_47,PC,Lateral,,0.5524
IfcAlignmentVerticalSegment,PC_35_63_32_55,PC,Moment of inertia,,0.5436
IfcAlignmentVerticalSegment,PC_10_90,PC,Test identifiers,,0.4947
IfcAnnotation,Zz_10_70_05,ZZ,Annotation,,0.9414
IfcAnnotation,Zz_20_10,ZZ,Annotation,,0.9414
IfcAnnotation,Zz_20_90,ZZ,Title annotation,,0.8902
IfcAnnotation,PM_10_10_60,PM,Project description,,0.8593
IfcAnnotation,PM_10,PM,Project information,,0.8486
IfcAnnotationFillArea,Ma_60_97_30,MA,Fir,,0.6067
IfcAnnotationFillArea,FI_60_05,FI,Animation file (AF),,0.5767
IfcAnnotationFillArea,Ss_55_15_85_46,SS,Lamella plate filtration systems,,0.5249
IfcAnnotationFillArea,Pr_45_31_63_30,PR,Flax fibres,,0.5196
IfcAnnotationFillArea,Pr_20_96_71,PR,Reinforcement and ancillaries,,0.5042
IfcApplication,Pr_25_93_54_11,PR,Carbon steel capping units,,0.5933
IfcApplication,Pr_25_93_50_22,PR,Concrete capping units,,0.5866
IfcApplication,Pr_25_93_54_15,PR,Copper capping units,,0.5572
IfcApplication,Pr_25_93_54_46,PR,Lead capping units,,0.5537
IfcApplication,Pr_65_54_30_10,PR,Caps and chains,,0.5404
IfcAppliedValue,PC_20_05_15_17,PC,Cost value,,0.6067
IfcAppliedValue,PC_20_70_22,PC,Dependent value,,0.5948
IfcAppliedValue,PC_35_30_11,PC,Calorific value,,0.5772
IfcAppliedValue,PM_80_30_07,PM,Asset value calculation information,,0.5363
IfcAppliedValue,RK_50_60_69,RK,Quality and values risk,,0.518
IfcApproval,Pr_25_93_54_11,PR,Carbon steel capping units,,0.5378
IfcApproval,Pr_35_90_28_15,PR,Cover caps,,0.5312
IfcApproval,Pr_25_93_50_22,PR,Concrete capping units,,0.5246
IfcApproval,Pr_25_93_54_46,PR,Lead capping units,,0.5154
IfcApproval,Pr_25_93_54_15,PR,Copper capping units,,0.5146
IfcApprovalRelationship,PM_40_50_60,PM,Partnership agreement,,0.5653
IfcApprovalRelationship,PM_50_30_68,PM,Private-sector participation (PSP) evaluation report,,0.516
IfcApprovalRelationship,RK_30_15_96,RK,Weakness in the management of commercial partnerships,,0.5149
IfcApprovalRelationship,Pr_60_70_34_65,PR,Power factor correction capacitors,,0.4975
IfcApprovalRelationship,PM_50_30_70,PM,Private-sector participation (PSP) financial close,,0.4903
IfcArbitraryClosedProfileDef,Pr_60_55_97_14,PR,Clarifiers,,0.5368
IfcArbitraryClosedProfileDef,PM_70_30_15,PM,Closed-circuit television (CCTV) commissioning certificate,,0.4927
IfcArbitraryClosedProfileDef,Pr_60_70_36_04,PR,Automatic circuit reclosers (ACRs),,0.4868
IfcArbitraryClosedProfileDef,Ma_60_65_96_15,MA,Chlorinated polyvinyl chloride (CPVC),,0.4603
IfcArbitraryClosedProfileDef,SL_70_20_13,SL,Capacitor banks,,0.4557
IfcArbitraryOpenProfileDef,Pr_60_55_97_14,PR,Clarifiers,,0.5193
IfcArbitraryOpenProfileDef,Pr_25_57_51_77,PR,Silicon carbide slip-resistant paper,,0.4823
IfcArbitraryOpenProfileDef,Ma_60_65_00,MA,Acrylonitrile butadiene styrene (ABS),,0.4792
IfcArbitraryOpenProfileDef,Ma_60_65_67,MA,Polypropylene (PP),,0.4721
IfcArbitraryOpenProfileDef,Pr_60_60_38_85,PR,Storage calorifiers,,0.4716
IfcArbitraryProfileDefWithVoids,Pr_60_55_97_14,PR,Clarifiers,,0.5399
IfcArbitraryProfileDefWithVoids,PC_10_90,PC,Test identifiers,,0.4703
IfcArbitraryProfileDefWithVoids,SL_70_20_13,SL,Capacitor banks,,0.4552
IfcArbitraryProfileDefWithVoids,Pr_75_51_26_05,PR,Alternating current (a.c.) motors with integrated variable speed drive,,0.4462
IfcArbitraryProfileDefWithVoids,Pr_75_50_20_66,PR,Proportional integral derivative (PID) controllers,,0.4452
IfcAsset,PM_80_10_10,PM,Asset register,,0.8829
IfcAsset,PM_40_60_06,PM,Asset delivery description,,0.8709
IfcAsset,RK_70_20_47,RK,Loss of physical asset,,0.8629
IfcAsset,PM_80,PM,Asset management information,,0.8599
IfcAsset,PM_80_10_11,PM,Asset condition photographs,,0.8579
IfcAsymmetricIShapeProfileDef,PM_40_30_60,PM,Parametric information,,0.5338
IfcAsymmetricIShapeProfileDef,Ss_25_20_68_30,SS,Fibre cement profiled sheet self-supporting cladding systems,,0.4853
IfcAsymmetricIShapeProfileDef,Pr_40_70_17_21,PR,Commercial electric cooking ranges,,0.4771
IfcAsymmetricIShapeProfileDef,Pr_65_72_43_95,PR,Voltage optimizers,,0.461
IfcAsymmetricIShapeProfileDef,Pr_65_70_70_83,PR,"Screened, multicore, cross-linked elastomeric-insulated, reduced dimensions, special fire performance cables",,0.4538
IfcAudioVisualAppliance,Pr_60_75_08,PR,Audio and visual source products,,0.8998
IfcAudioVisualAppliance,Pr_70_75_06,PR,Audio output devices,,0.8931
IfcAudioVisualAppliance,Pr_60_75_03,PR,Audio and video players and recorders,,0.8906
IfcAudioVisualAppliance,Pr_60_75_06,PR,Audio input devices,,0.8789
IfcAudioVisualAppliance,Pr_60_75_08_03,PR,Audio equalizers,,0.8592
IfcAudioVisualApplianceType,PC_10_65_91,PC,Type,,0.8638
IfcAudioVisualApplianceType,PC_35_28_16,PC,Climate type,,0.6613
IfcAudioVisualApplianceType,PC_35_30_32,PC,Fire type,,0.6573
IfcAudioVisualApplianceType,PC_50_34_75_91,PC,Service type,,0.6371
IfcAudioVisualApplianceType,PC_50_34_86_91,PC,System type,,0.6096
IfcAxis1Placement,Ss_20_05_65_42,SS,In situ concrete cased displacement piling systems,,0.5721
IfcAxis1Placement,Ss_20_05_65_43,SS,In situ concrete displacement piling systems,,0.5632
IfcAxis1Placement,RK_70_50_65,RK,Failure to prevent tampering with or loss of sensitive technical components or systems,,0.4635
IfcAxis1Placement,Pr_35_90_15_15,PR,Centrally placed polyvinyl chloride (PVC) elastomer flexible waterstops,,0.4561
IfcAxis1Placement,Pr_35_90_15_16,PR,Centrally placed unplasticized polyvinyl chloride (PVC-U) flexible waterstops,,0.4533
IfcAxis2Placement2D,Ss_20_05_65_42,SS,In situ concrete cased displacement piling systems,,0.566
IfcAxis2Placement2D,Pr_35_90_15_16,PR,Centrally placed unplasticized polyvinyl chloride (PVC-U) flexible waterstops,,0.4849
IfcAxis2Placement2D,Pr_65_70_80_53,PR,Multicore screened pair low-smoke halogen-free (LSHF) axle counter cables,,0.4712
IfcAxis2Placement2D,Pr_35_90_15_15,PR,Centrally placed polyvinyl chloride (PVC) elastomer flexible waterstops,,0.4513
IfcAxis2Placement2D,Pr_65_50_35_91,PR,"Unplasticized polyvinyl chloride (PVC-U) combined fascias, soffits and gutters",,0.4502
IfcAxis2Placement3D,Ss_20_05_65_42,SS,In situ concrete cased displacement piling systems,,0.5624
IfcAxis2Placement3D,Pr_35_90_15_16,PR,Centrally placed unplasticized polyvinyl chloride (PVC-U) flexible waterstops,,0.488
IfcAxis2Placement3D,Pr_35_90_15_15,PR,Centrally placed polyvinyl chloride (PVC) elastomer flexible waterstops,,0.4614
IfcAxis2Placement3D,Pr_30_31_76_41,PR,Intumescent foam fillers,,0.4593
IfcAxis2Placement3D,Pr_65_50_35_91,PR,"Unplasticized polyvinyl chloride (PVC-U) combined fascias, soffits and gutters",,0.4521
IfcAxis2PlacementLinear,Ss_20_05_65_42,SS,In situ concrete cased displacement piling systems,,0.5479
IfcAxis2PlacementLinear,Ss_70_30_60_11,SS,Catenary cantilever overhead line systems,,0.4681
IfcAxis2PlacementLinear,Pr_20_96_71,PR,Reinforcement and ancillaries,,0.4643
IfcAxis2PlacementLinear,Ss_25_20_68_30,SS,Fibre cement profiled sheet self-supporting cladding systems,,0.4638
IfcAxis2PlacementLinear,Pr_60_70_34_47,PR,Line series variable compensators,,0.4602
IfcBSplineCurve,Pr_65_70_48_77,PR,Polyvinyl chloride (PVC)-insulated single-core cables,,0.5251
IfcBSplineCurve,Pr_25_71_94_22,PR,Decorative continuous laminates (DCL or CPL),,0.5236
IfcBSplineCurve,Pr_65_70_48_63,PR,Polyvinyl chloride (PVC)-insulated non-sheathed single-core cables,,0.5188
IfcBSplineCurve,Pr_65_70_48_74,PR,Polyvinyl chloride (PVC)-insulated non-sheathed heat-resistant single-core cables,,0.5135
IfcBSplineCurve,Ss_70_10_30_72,SS,Reciprocating internal combustion engine driven alternating current generator systems,,0.5071
IfcBSplineCurveWithKnots,Pr_65_70_48_62,PR,Polyvinyl chloride (PVC)-insulated flexible single-core cables for switchgear and controlgear wiring,,0.493
IfcBSplineCurveWithKnots,Pr_25_71_94_22,PR,Decorative continuous laminates (DCL or CPL),,0.4724
IfcBSplineCurveWithKnots,Ma_60_65_96_15,MA,Chlorinated polyvinyl chloride (CPVC),,0.4664
IfcBSplineCurveWithKnots,Pr_65_52_63_14,PR,Chlorinated polyvinyl chloride (PVC-C) pipelines,,0.4615
IfcBSplineCurveWithKnots,Pr_65_72_59_13,PR,Compression splices,,0.4556
IfcBSplineSurface,Zz_80_45,ZZ,Lines,,0.8158
IfcBSplineSurface,Pr_65_52_61_86,PR,Surface-mounted intumescent pipe collars,,0.5785
IfcBSplineSurface,Pr_35_90_15_85,PR,Surface-mounted polyvinyl chloride (PVC) flexible waterstops,,0.5768
IfcBSplineSurface,Pr_40_30_20_86,PR,Surface-mounted curtain pelmets,,0.5394
IfcBSplineSurface,Zz_35_40,ZZ,Gridlines,,0.5392
IfcBSplineSurfaceWithKnots,Zz_80_45,ZZ,Lines,,0.8246
IfcBSplineSurfaceWithKnots,Zz_40_15,ZZ,Contours,,0.5401
IfcBSplineSurfaceWithKnots,Pr_35_31_05_64,PR,Polyurethane-bound ethylene propylene diene monomer (EPDM) rubber crumb surfacings,,0.5117
IfcBSplineSurfaceWithKnots,Pr_35_90_15_85,PR,Surface-mounted polyvinyl chloride (PVC) flexible waterstops,,0.5092
IfcBSplineSurfaceWithKnots,Pr_65_72_27_73,PR,Residual current circuit breakers with integral overcurrent protection,,0.478
IfcBeam,PC_20_65_59_38,PC,Horizontal,,0.8504
IfcBeam,EF_20,EF,Structural elements,,0.8452
IfcBeam,Pr_20_85_08_85,PR,Structural wood-composite I-beams,,0.8314
IfcBeam,PM_35_20_80,PM,Structural design performance requirements,,0.8302
IfcBeam,PC_35_63_84,PC,Structure,,0.7868
IfcBeamType,PM_70_30_92,PM,Uninterruptible power supply (UPS) test certificate,,0.5451
IfcBeamType,PM_70_30_08,PM,Booster pump set test certificate,,0.5429
IfcBeamType,PC_60_54_42,PC,Inflatable,,0.5129
IfcBeamType,Pr_65_70_48_55,PR,Cross-linked elastomeric-insulated and thermoplastic-sheathed low-smoke halogen-free (LSHF) screened multicore cables,,0.4794
IfcBeamType,PC_10_90,PC,Test identifiers,,0.4632
IfcBearing,EF_25,EF,Wall and barrier elements,,0.872
IfcBearing,PC_10_65_91,PC,Type,,0.8654
IfcBearing,EF_30,EF,"Roofs, floor and paving elements",,0.8638
IfcBearing,EF_37,EF,"Tunnel, vessel and tower elements",,0.8633
IfcBearing,RK_40_05_54,RK,Modular or prefabricated components,,0.8592
IfcBearingType,PC_10_65_91,PC,Type,,0.8752
IfcBearingType,PC_20_30_06,PC,Backing type,,0.6989
IfcBearingType,PC_50_15_81_91,PC,Signal type,,0.6344
IfcBearingType,PC_20_67_60,PC,Packaging type,,0.6331
IfcBearingType,PC_20_77_21,PC,Day type,,0.6168
IfcBlobTexture,PC_35_65_36_64,PC,"Persistent, bioaccumulative and toxic pollutants (PBTs) content",,0.4835
IfcBlobTexture,Pr_65_70_48_59,PR,Ordinary-duty polyvinyl chloride (PVC)-insulated and sheathed low-temperature flexible cables,,0.4763
IfcBlobTexture,Pr_65_70_48_46,PR,Light-duty polyvinyl chloride (PVC)-insulated and sheathed heat-resistant flexible cables,,0.4725
IfcBlobTexture,Pr_65_70_48_58,PR,Ordinary-duty polyvinyl chloride (PVC)-insulated and sheathed heat-resistant flexible cables,,0.4725
IfcBlobTexture,Pr_65_70_80_53,PR,Multicore screened pair low-smoke halogen-free (LSHF) axle counter cables,,0.4686
IfcBlock,Pr_20_93_71_15,PR,Concrete interlocking blocks,,0.673
IfcBlock,Pr_30_36_08_27,PR,Electric locks,,0.657
IfcBlock,SL_90_10_02,SL,Airlocks,,0.6171
IfcBlock,Pr_30_36_08_68,PR,Push-button locks,,0.6144
IfcBlock,Pr_30_36_08_97,PR,Window locks,,0.6076
IfcBoiler,Ac_85_65_08,AC,Boiler operating,,0.9108
IfcBoiler,SL_90_90_08,SL,Boiler rooms,,0.8956
IfcBoiler,Pr_60_60_08_37,PR,Gas-fired water tube boilers,,0.8942
IfcBoiler,Pr_60_60_08_60,PR,Oil-fired water tube boilers,,0.891
IfcBoiler,Pr_60_60_08_09,PR,Boiler superheaters,,0.8892
IfcBoilerType,PC_10_65_91,PC,Type,,0.8701
IfcBoilerType,PC_35_30_32,PC,Fire type,,0.6518
IfcBoilerType,PC_50_34_74_91,PC,Sensor type,,0.6382
IfcBoilerType,PC_50_15_30_91,PC,Fibre type,,0.6319
IfcBoilerType,PC_20_05_22_77,PC,Shipper type,,0.6289
IfcBooleanClippingResult,Pr_65_72_27_73,PR,Residual current circuit breakers with integral overcurrent protection,,0.4803
IfcBooleanClippingResult,Pr_80_77_76_92,PR,Unplasticized polyvinyl chloride (PVC-U) sheet insulation casing,,0.4797
IfcBooleanClippingResult,Pr_65_70_48_65,PR,Paper-insulated lead-covered (PILC) cables,,0.4658
IfcBooleanClippingResult,Pr_65_70_36_36,PR,High-voltage paper-insulated cable terminations,,0.4594
IfcBooleanClippingResult,Pr_65_70_48_62,PR,Polyvinyl chloride (PVC)-insulated flexible single-core cables for switchgear and controlgear wiring,,0.4538
IfcBooleanResult,PM_70_15_32,PM,Flat roof electronic test results,,0.5611
IfcBooleanResult,PM_70_15_80,PM,Smoke and fire alarm and fire suppression system telephone lines test results,,0.521
IfcBooleanResult,PC_10_90,PC,Test identifiers,,0.5149
IfcBooleanResult,Pr_65_72_27_73,PR,Residual current circuit breakers with integral overcurrent protection,,0.5138
IfcBooleanResult,PC_10_90_29,PC,Factory test identifiers,,0.5071
IfcBorehole,PM_40_35_33,PM,Geotechnical models,,0.9087
IfcBorehole,Ac_15_75_55,AC,Geotechnical substructure investigating,,0.8798
IfcBorehole,Ac_15_75_50,AC,Geotechnical investigating,,0.8661
IfcBorehole,Ro_70_10_33,RO,Geotechnical surveyor,,0.8658
IfcBorehole,PM_30_20_34,PM,Geotechnical substructure investigation report,,0.8633
IfcBoundaryCondition,PC_50_37_36_93,PC,Unconditioned,,0.7294
IfcBoundaryCondition,PC_10_90_89,PC,Test conditions,,0.6725
IfcBoundaryCondition,PC_10_90_65,PC,Pretest conditions,,0.6188
IfcBoundaryCondition,PM_40_50_64,PM,Planning conditions information,,0.5917
IfcBoundaryCondition,PM_35_10_32,PM,Functional properties performance requirements,,0.5487
IfcBoundaryCurve,Ss_70_10_30_72,SS,Reciprocating internal combustion engine driven alternating current generator systems,,0.4951
IfcBoundaryCurve,Pr_65_70_48_60,PR,Ordinary-duty polyvinyl chloride (PVC)-insulated and sheathed flexible cables,,0.4804
IfcBoundaryCurve,Pr_65_70_80_51,PR,Multicore screened low-smoke halogen-free (LSHF) cable run cables,,0.4778
IfcBoundaryCurve,Pr_65_70_80_53,PR,Multicore screened pair low-smoke halogen-free (LSHF) axle counter cables,,0.4746
IfcBoundaryCurve,Ac_25_70_11,AC,Cataloguing,,0.4742
IfcBoundaryEdgeCondition,PC_50_37_36_93,PC,Unconditioned,,0.7048
IfcBoundaryEdgeCondition,PM_40_50_64,PM,Planning conditions information,,0.5453
IfcBoundaryEdgeCondition,Ss_25_14_08,SS,"Board, palisade and continuous infill fencing systems",,0.5126
IfcBoundaryEdgeCondition,PM_60_20_22,PM,Construction method statement,,0.5037
IfcBoundaryEdgeCondition,Pr_20_93_52_89,PR,Thin joint autoclaved aerated concrete (AAC) blocks,,0.4907
IfcBoundaryFaceCondition,PC_20_32_29,PC,Face,,0.8326
IfcBoundaryFaceCondition,PC_50_37_36_93,PC,Unconditioned,,0.706
IfcBoundaryFaceCondition,PC_20_67_03_29,PC,Face finish,,0.5427
IfcBoundaryFaceCondition,PM_35_10_32,PM,Functional properties performance requirements,,0.512
IfcBoundaryFaceCondition,SL_80_94_02,SL,Abutment faces,,0.5039
IfcBoundaryNodeCondition,PC_50_37_36_93,PC,Unconditioned,,0.7248
IfcBoundaryNodeCondition,PC_10_90_89,PC,Test conditions,,0.6641
IfcBoundaryNodeCondition,PC_10_90_65,PC,Pretest conditions,,0.6082
IfcBoundaryNodeCondition,PM_40_50_64,PM,Planning conditions information,,0.541
IfcBoundaryNodeCondition,PC_50_37_36_15,PC,Conditioning unit identifier,,0.5267
IfcBoundaryNodeConditionWarping,PC_50_37_36_93,PC,Unconditioned,,0.6838
